Group;Negative;Positive;Specific request;UI problems;Execution problems;Over-automation;Pedagogic problems;Procedural Familiarization;Prefer other sources;Pipette interactivity;Direction problems;Insufficiently descriptive;Physical Familliarization;Repetition;Request for Norsk;Mismatch to real;More emphasis on machine;Visibility;NA to respondant;Simulation not needed;Program not resetting
1;3;3;3;0;2;2;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1
2;1;3;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0
3;12;11;2;4;4;3;2;3;3;0;1;0;2;1;0;1;0;0;0;1;0
4;2;1;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
5;4;2;1;2;2;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;1
6;6;0;0;3;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0
7;6;3;3;1;0;1;3;1;0;0;0;2;0;1;0;0;0;0;0;0;0
8;3;3;7;4;0;0;1;0;1;0;1;1;0;0;2;0;0;0;0;0;0
9;3;2;3;1;1;0;0;0;0;1;1;1;0;0;0;1;3;0;0;0;0
10;3;6;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
11;2;3;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;2;0;1;0
12;3;0;1;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0
