ID;Eval1;Eval2;Eval3;Eval4;Eval5;Eval6;Negative;Positive;Specific request;UI problems;Execution problems;Over-automation;Pedagogic problems;Procedural Familiarization;Prefer other sources;Pipette interactivity;Direction problems;Insufficiently descriptive;Physical Familiarization;Repetition;Request for Norsk;Mismatch to real;More emphasis on machine;Visibility;NA to respondant;Simulation not needed;Program not resetting
1;0.75;0;1;0;0;0.2;6;6;6;0;4;4;0;0;0;6;0;0;2;0;0;0;0;0;0;0;2
2;0.625;0.5;1;0.6;0.4;0.55;2;6;2;2;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;0
3;0.75;0.5;1;0.8;0.7;0.7;36;33;6;12;12;9;6;9;9;0;3;0;6;3;0;3;0;0;0;3;0
4;0.75;0.2;1;0.35;0.5;0.4625;4;2;4;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
5;0.75;0.5;1;0.4;0.4;0.525;8;4;2;4;4;0;2;2;0;0;0;2;0;2;0;2;2;0;0;0;2
6;0.625;0.5;1;0.6;0.3;0.525;18;0;0;9;0;0;0;0;6;0;3;0;0;0;0;0;0;3;0;0;0
7;0.5;0.4;1;0.4;0.6;0.5;18;9;9;3;0;3;9;3;0;0;0;6;0;3;0;0;0;0;0;0;0
8;0.75;0.5;1;0.6;0.5;0.6;9;9;21;12;0;0;3;0;3;0;3;3;0;0;6;0;0;0;0;0;0
9;0.75;0.2;1;0.7;0.6;0.575;9;6;9;3;3;0;0;0;0;3;3;3;0;0;0;3;9;0;0;0;0
10;0.5;0.5;1;0.5;0.6;0.55;6;12;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
11;0.625;0.6;1;0.7;0.7;0.675;4;6;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;4;0;2;0
